LOAN,MORTDUE,VALUE
1700,30548.0,40320.0
1800,28502.0,43034.0
2300,102370.0,120953.0
2400,34863.0,47471.0
2400,98449.0,117195.0
2900,103949.0,112505.0
2900,104373.0,120702.0
2900,7750.0,67996.0
2900,61962.0,70915.0
3000,104570.0,121729.0
3200,74864.0,87266.0
3300,130518.0,164317.0
3600,100693.0,114743.0
3600,52337.0,63989.0
3700,17857.0,21144.0
3800,51180.0,63459.0
3900,29896.0,45960.0
3900,102143.0,118742.0
4000,105164.0,112774.0
4000,54543.0,61777.0
4000,26572.0,31960.0
4100,57992.0,63797.0
4200,56544.0,59218.0
4200,66272.0,82953.0
4200,50216.0,58541.0
4300,71206.0,78698.0
4300,68815.0,79852.0
4300,72021.0,80027.0
4400,53969.0,63869.0
4400,53091.0,64074.0
4500,66127.0,79087.0
4500,71082.0,79247.0
4700,71855.0,88566.0
4700,88026.0,115506.0
4800,56067.0,63102.0
4800,80482.0,88342.0
4900,58688.0,63348.0
4900,25597.0,23031.0
4900,67794.0,84630.0
4900,65576.0,65774.0
4900,57461.0,68494.0
5000,66839.0,87168.0
5000,90059.0,113714.0
5000,80153.0,97275.0
5000,46696.0,85202.0
5000,66435.0,82819.0
5100,85583.0,115341.0
5100,72891.0,80691.0
5100,87258.0,121382.0
5100,129319.0,141875.0
5100,66834.0,87361.0
5100,73882.0,96031.0
5100,74071.0,97064.0
5100,62702.0,79784.0
5200,40564.0,39527.0
5300,66987.0,65111.0
5300,75958.0,91703.0
5300,97132.0,117343.0
5300,47449.0,63895.0
5300,50934.0,62957.0
5400,86922.0,119846.0
5400,68625.0,82304.0
5400,65814.0,85848.0
5500,70481.0,82446.0
5500,87765.0,101053.0
5500,52897.0,65054.0
5500,93051.0,115374.0
5500,87438.0,116679.0
5500,72147.0,69918.0
5500,40584.0,46645.0
5500,37368.0,48502.0
5500,71644.0,72696.0
5500,85845.0,122205.0
5600,53793.0,66379.0
5600,69435.0,83489.0
5600,29648.0,39907.0
5600,76407.0,77485.0
5700,100934.0,111496.0
5700,49514.0,58249.0
5700,76948.0,85753.0
5700,28127.0,36524.0
5700,26927.0,35461.0
5700,77213.0,92661.0
5700,62319.0,82923.0
5700,71556.0,79538.0
5700,74172.0,79846.0
5700,28116.0,33450.0
5800,75000.0,90543.0
5800,79296.0,86885.0
5800,27791.0,46833.0
5800,46595.0,58191.0
5900,70973.0,77989.0
5900,25972.0,41856.0
5900,74187.0,78976.0
6000,95232.0,115977.0
6000,79046.0,103048.0
6100,91704.0,114799.0
6100,47604.0,54966.0
6100,62751.0,95617.0
6100,68743.0,65321.0
6100,79636.0,87276.0
6200,75657.0,84368.0
6200,46601.0,59486.0
6200,60354.0,87596.0
6200,70793.0,71552.0
6200,73881.0,98550.0
6200,133882.0,155222.0
6200,75623.0,89634.0
6300,99469.0,116260.0
6300,78724.0,80355.0
6300,92659.0,117352.0
6300,58052.0,70091.0
6300,12476.0,32559.0
6300,69357.0,73726.0
6300,26655.0,29792.0
6400,53476.0,70157.0
6400,81116.0,86148.0
6400,17491.0,63614.0
6400,62746.0,75016.0
6400,76732.0,78084.0
6400,70035.0,78635.0
6400,28041.0,33438.0
6400,57887.0,74776.0
6500,60054.0,70434.0
6500,63144.0,76754.0
6500,33639.0,37345.0
6500,81145.0,117530.0
6500,183860.0,208910.0
6500,58689.0,72557.0
6600,62380.0,89742.0
6600,68733.0,81973.0
6600,95450.0,112630.0
6700,55113.0,56486.0
6700,60301.0,70543.0
6700,49367.0,59609.0
6700,58741.0,68225.0
6700,27510.0,42495.0
6700,69773.0,83014.0
6700,51855.0,58084.0
6700,29662.0,36195.0
6700,66587.0,70710.0
6700,54161.0,59714.0
6700,134616.0,155034.0
6800,136951.0,160306.0
6800,138691.0,160063.0
6800,139578.0,154602.0
6800,57439.0,74816.0
6800,76074.0,88178.0
6800,56155.0,57912.0
6800,71666.0,99913.0
6800,75964.0,88754.0
6900,75880.0,113612.0
6900,70717.0,87466.0
6900,53776.0,51952.0
6900,53328.0,58088.0
6900,57257.0,63752.0
6900,97662.0,110046.0
6900,49932.0,66042.0
7000,73873.0,111781.0
7000,74795.0,99149.0
7000,78284.0,98214.0
7000,58128.0,93740.0
7000,81335.0,81018.0
7000,52287.0,87972.0
7000,46238.0,66842.0
7000,64255.0,68389.0
7000,129959.0,161301.0
7000,58114.0,93391.0
7000,16047.0,67750.0
7100,98490.0,114457.0
7100,25896.0,33580.0
7100,120176.0,180104.0
7100,58639.0,72412.0
7100,57863.0,70969.0
7100,64850.0,76985.0
7100,53273.0,54378.0
7200,62329.0,78007.0
7200,57912.0,84806.0
7200,98691.0,115750.0
7200,79946.0,113807.0
7200,15637.0,39660.0
7200,71667.0,117325.0
7200,22832.0,31666.0
7300,55456.0,86766.0
7300,60973.0,79443.0
7300,139348.0,205981.0
7400,32832.0,50798.0
7400,138033.0,163162.0
7400,88288.0,119677.0
7400,73985.0,114849.0
7400,51974.0,59323.0
7400,56596.0,72861.0
7400,71576.0,89068.0
7400,65032.0,83184.0
7400,82412.0,91326.0
7500,47518.0,60252.0
7500,63573.0,80601.0
7500,32070.0,36811.0
7500,72097.0,69408.0
7500,84479.0,104571.0
7500,88056.0,104794.0
7500,11358.0,36892.0
7500,12115.0,35910.0
7500,67778.0,83368.0
7500,60192.0,76475.0
7500,57213.0,92458.0
7600,133475.0,203936.0
7600,48829.0,62357.0
7600,58622.0,77726.0
7600,80900.0,99525.0
7700,32243.0,36369.0
7700,53377.0,86018.0
7700,70451.0,81862.0
7700,20887.0,26958.0
7700,76056.0,83643.0
7700,51045.0,91068.0
7800,58399.0,65945.0
7800,58364.0,66688.0
7800,64503.0,85608.0
7800,69662.0,80498.0
7800,45391.0,61743.0
7800,38506.0,50309.0
7800,55394.0,63567.0
7800,53243.0,95065.0
7900,67222.0,75189.0
7900,44690.0,45841.0
7900,40827.0,55757.0
7900,77221.0,95316.0
7900,55383.0,70020.0
7900,78532.0,122952.0
7900,41935.0,53543.0
8000,49232.0,61221.0
8000,61565.0,87624.0
8000,82547.0,105361.0
8000,70546.0,81272.0
8000,49685.0,81020.0
8000,32100.0,36739.0
8000,47154.0,65458.0
8000,92487.0,113947.0
8000,84282.0,121045.0
8000,57361.0,71167.0
8000,58006.0,94930.0
8100,48781.0,50434.0
8100,84822.0,123854.0
8100,53863.0,74705.0
8100,78977.0,91995.0
8100,81322.0,97823.0
8100,46380.0,58745.0
8100,19772.0,39431.0
8100,69047.0,82113.0
8100,26886.0,36527.0
8100,28523.0,39816.0
8100,28187.0,32584.0
8100,50373.0,65865.0
8200,10909.0,37286.0
8200,62603.0,86782.0
8200,117314.0,132770.0
8200,64006.0,80409.0
8200,72986.0,87621.0
8200,51730.0,59025.0
8200,58536.0,66546.0
8200,68013.0,77008.0
8200,76268.0,89166.0
8200,120837.0,176244.0
8200,61821.0,64832.0
8200,66254.0,74994.0
8200,67489.0,80145.0
8200,87979.0,94854.0
8200,80989.0,105080.0
8200,135929.0,200275.0
8200,48515.0,59240.0
8200,13392.0,34254.0
8300,61213.0,65798.0
8300,41481.0,50448.0
8300,14601.0,66143.0
8300,51783.0,57839.0
8300,67715.0,86945.0
8300,45842.0,50006.0
8300,101150.0,115215.0
8300,67839.0,76502.0
8300,35343.0,51986.0
8300,54039.0,89301.0
8300,71922.0,117151.0
8400,75912.0,95329.0
8400,39677.0,54707.0
8400,53841.0,64284.0
8400,82597.0,83858.0
8400,17479.0,66894.0
8400,62989.0,76718.0
8400,43589.0,49950.0
8400,62583.0,77481.0
8400,77144.0,91532.0
8400,60995.0,78444.0
8400,30146.0,39326.0
8400,35240.0,54314.0
8400,57103.0,78079.0
8400,78089.0,90660.0
8400,48032.0,95213.0
8400,57694.0,70782.0
8400,37256.0,45956.0
8500,73752.0,87931.0
8500,41210.0,45175.0
8500,64665.0,72376.0
8500,50031.0,57276.0
8500,61607.0,81126.0
8500,49266.0,64461.0
8500,50569.0,60940.0
8500,78346.0,82226.0
8500,47777.0,78979.0
