LOAN,MORTDUE,VALUE
1100,25860.0,39025.0
1300,70053.0,68400.0
1500,13500.0,16700.0
1500,,
1700,97800.0,112000.0
1700,30548.0,40320.0
1800,48649.0,57037.0
1800,28502.0,43034.0
2000,32700.0,46740.0
2000,,62250.0
2000,22608.0,
2000,20627.0,29800.0
2000,45000.0,55000.0
2000,64536.0,87400.0
2100,71000.0,83850.0
2200,24280.0,34687.0
2200,90957.0,102600.0
2200,23030.0,
2300,28192.0,40150.0
2300,102370.0,120953.0
2300,37626.0,46200.0
2400,50000.0,73395.0
2400,28000.0,40800.0
2400,18000.0,
2400,,17180.0
2400,34863.0,47471.0
2400,98449.0,117195.0
2500,15000.0,20200.0
2500,25116.0,36350.0
2500,7229.0,44516.0
2500,71408.0,78600.0
2800,50795.0,63100.0
2800,4000.0,60850.0
2900,78600.0,113000.0
2900,103949.0,112505.0
2900,104373.0,120702.0
2900,7750.0,67996.0
2900,61962.0,70915.0
3000,104570.0,121729.0
3000,7000.0,20300.0
3000,,8800.0
3000,,33000.0
3000,119826.0,193500.0
3000,20000.0,29750.0
3000,,14500.0
3000,,14100.0
3000,47000.0,82700.0
3000,34542.0,45900.0
3000,58000.0,71500.0
3000,47000.0,56400.0
3100,39589.0,36100.0
3100,,70400.0
3200,67848.0,74566.0
3200,48603.0,61000.0
3200,27200.0,40834.0
3200,54000.0,64850.0
3200,74864.0,87266.0
3200,23159.0,
3300,126541.0,134527.0
3300,130518.0,164317.0
3400,37000.0,52000.0
3500,23200.0,38666.0
3500,19400.0,20494.0
3600,61584.0,61800.0
3600,41900.0,52490.0
3600,83700.0,111800.0
3600,61327.0,76484.0
3600,100693.0,114743.0
3600,48507.0,61000.0
3600,52337.0,63989.0
3700,17857.0,21144.0
3800,19135.0,97692.0
3800,51180.0,63459.0
3800,,73189.0
3800,11543.0,46045.0
3900,29896.0,45960.0
3900,14500.0,22092.0
3900,52825.0,63000.0
3900,102143.0,118742.0
3900,21200.0,39000.0
4000,105164.0,112774.0
4000,54543.0,61777.0
4000,,80609.0
4000,26572.0,31960.0
4000,17000.0,52012.0
4000,29562.0,37200.0
4000,41700.0,76725.0
4000,58000.0,69440.0
4000,5700.0,18000.0
4000,45000.0,58350.0
4000,7000.0,16020.0
4000,66000.0,79050.0
4000,,45760.0
4000,62000.0,78000.0
4000,64240.0,63990.0
4000,74000.0,93000.0
4000,55000.0,59000.0
4000,67625.0,80698.0
4000,67533.0,71865.0
4100,,19132.0
4100,58500.0,65000.0
4100,57992.0,63797.0
4200,56544.0,59218.0
4200,34800.0,50225.0
4200,67700.0,77000.0
4200,44000.0,55085.0
4200,66272.0,82953.0
4200,50216.0,58541.0
4300,71206.0,78698.0
4300,68815.0,79852.0
4300,72021.0,80027.0
4400,53969.0,63869.0
4400,,60250.0
4400,53091.0,64074.0
4500,66127.0,79087.0
4500,,77182.0
4500,39000.0,66000.0
4500,71082.0,79247.0
4500,,49044.0
4500,57000.0,
4500,34184.0,46000.0
4500,66517.0,87000.0
4500,45500.0,50000.0
4500,118000.0,146870.0
4500,90000.0,105800.0
4700,67913.0,97205.0
4700,71855.0,88566.0
4700,53918.0,59511.0
4700,49100.0,58238.0
4700,88026.0,115506.0
4700,26900.0,45000.0
4800,67317.0,97191.0
4800,56067.0,63102.0
4800,80482.0,88342.0
4900,58688.0,63348.0
